track_name,artist_name,streams,danceability_pct,energy_pct
Circles,Post Malone,2132335812,70,75
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",1802514301,70,83
No Role Modelz,J. Cole,1791000570,70,52
Dakiti,"Bad Bunny, Jhay Cortez",1763363713,73,57
When I Was Your Man,Bruno Mars,1661187319,60,27
Die For You,The Weeknd,1647990401,59,52
Before You Go,Lewis Capaldi,1608045237,45,60
Every Breath You Take - Remastered 2003,The Police,1593270737,82,45
Save Your Tears,The Weeknd,1591223784,68,82
Kiss Me More (feat. SZA),"SZA, Doja Cat",1575467011,77,66
Locked Out Of Heaven,Bruno Mars,1481349984,73,70
Call Out My Name,The Weeknd,1449799467,45,60
Me Porto Bonito,"Chencho Corleone, Bad Bunny",1440757818,91,71
Adore You,Harry Styles,1439191367,68,77
la cancion,"J Balvin, Bad Bunny",1435127549,75,65
The Night We Met,Lord Huron,1410088830,45,37
Easy On Me,Adele,1406111294,60,37
Let Me Down Slowly,Alec Benjamin,1374581173,65,55
Beggin,MANESKIN,1367810478,71,80
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1356565093,62,78
Blank Space,Taylor Swift,1355959075,75,68
Callaita,"Bad Bunny, Tainy",1304313953,61,62
Heather,Conan Gray,1301799902,47,43
I Wanna Be Yours,Arctic Monkeys,1297026226,48,42
Iris,The Goo Goo Dolls,1284942608,32,72
Danza Kuduro,"Don Omar, Lucenzo",1279434863,47,92
Titi Me Preguntï¿,Bad Bunny,1264310836,65,72
Yonaguni,Bad Bunny,1260594497,64,65
deja vu,Olivia Rodrigo,1256880657,44,60
positions,Ariana Grande,1252563873,73,80
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1230675890,71,47
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",1223481149,72,76
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",1223481149,73,74
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",1221813483,65,79
505,Arctic Monkeys,1217120710,52,85
La Bachata,Manuel Turizo,1214083358,84,68
Hope,XXXTENTACION,1200808494,59,46
Contection,"GODZZ__-, Zakaria",1180896317,81,75
you broke me first,Tate McRae,1180094974,64,37
Todo De Ti,Rauw Alejandro,1168642797,81,63
Kill Bill,SZA,1163093654,64,73
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1145727611,74,70
Butter,BTS,1143647827,79,36
Astronaut In The Ocean,Masked Wolf,1138474110,78,70
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",1133865788,65,69
Daddy Issues,The Neighbourhood,1127468248,59,52
SLOW DANCING IN THE DARK,Joji,1122364376,52,48
Dandelions,Ruth B.,1116995633,61,69
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",1115880852,59,62
I'm Good (Blue),"Bebe Rexha, David Guetta",1109433169,56,97
Money Trees,"Kendrick Lamar, Jay Rock",1093605526,74,53
I Ain't Worried,OneRepublic,1085685420,71,81
Boy With Luv (feat. Halsey),"Halsey, BTS",1065580332,65,86
Talking To The Moon,Bruno Mars,1062956628,52,61
The Business,Tiï¿½ï¿,1062345656,80,62
My Universe,"Coldplay, BTS",1061966512,58,68
